phi,mu[1],mu[2],mu[3],mu[4],mu[5],mu[6],mu[7],mu[8],mu[9],mu[10],mu[11],mu[12],mu[13],mu[14],mu[15],mu[16],mu[17],mu[18],mu[19],mu[20]
1.251837148,0.096749048,3.47E-12,3.09E-05,0.620732267,0.039531695,0.00267038,3.55E-06,0.000791115,0.005416572,0.919171331,7.23E-05,0.007818644,6.188624035,0.08566425,5.12E-12,2.776793048,6.34E-23,2.910824174,2.645511812,0.097754647
0.809028344,0.095331918,6.19E-19,0.00276705,0.657390612,0.000198039,6.71E-12,6.58E-07,0.506066701,3.02E-07,1.509029932,0.002271365,2.82E-08,6.122751756,0.113575709,4.22E-08,3.497060614,0.092661234,1.572270026,2.899074491,0.080809397
0.720737572,0.142386776,8.69E-19,0.001972734,0.654261491,5.12E-10,2.61E-11,5.51E-08,0.002715732,8.31E-10,1.366176074,6.01E-19,5.62E-05,5.225710086,0.088246192,4.18E-13,3.535007502,0.009225316,1.207339909,2.727958008,0.105297436
1.154809624,0.054106339,0.032296345,0.018382794,0.600171482,1.96E-09,8.36E-05,1.23E-05,0.002170947,0.001015119,0.977654868,3.38E-13,1.11E-05,5.431853005,0.120390537,7.66E-05,3.522125086,3.11E-05,2.834425329,2.911796513,0.028605896
0.733099517,0.091140858,6.52E-10,0.000175811,0.617016247,8.47E-10,0.000129583,4.34E-11,0.008386178,0.001183852,0.726270793,2.48E-18,6.12E-06,4.741531962,0.092544314,1.52E-10,3.294773284,2.02E-09,0.904474811,2.414033901,0.127750956
1.051597049,0.064470511,3.94E-07,0.006108603,0.713388163,2.22E-09,0.013750475,6.53E-11,0.024494954,0.000598162,1.125449042,0.000191022,0.001342538,5.761305072,0.078849048,0.399672086,4.491909831,5.43E-08,0.959877075,3.158192235,0.138812161
0.938025139,0.095078088,5.84E-11,0.001938214,0.75110251,0.01746261,1.46E-07,9.84E-11,0.000134181,0.000610387,0.939474552,1.20E-06,4.45E-13,5.890886993,0.134567644,8.33E-13,3.23802587,4.80E-08,1.405914465,3.405874402,0.046841939
0.930357582,0.101923176,6.98E-11,0.006808819,0.656243764,0.001670321,1.23E-12,6.73E-09,0.000170031,0.021384598,0.888026314,3.26E-06,5.03E-18,6.977048604,0.073688316,2.83E-08,3.226735666,4.91E-19,1.453353312,2.589870125,0.083475671
0.726183456,0.109342253,8.91E-18,1.22E-05,0.615653298,1.24E-19,2.87E-10,2.08E-09,1.145245464,0.000381957,0.922265314,5.21E-07,2.51E-12,8.252655431,0.119695076,0.012201082,2.810692379,1.61E-11,3.497997544,2.378632658,0.04839441
0.759104528,0.115781481,2.51E-13,0.01673625,0.576138851,1.67E-11,6.65E-08,1.95E-05,1.29E-05,1.07E-06,1.437034445,2.94E-09,2.40E-09,6.073374948,0.110929839,0.006849371,5.056911238,2.13E-06,0.927471382,2.543951916,0.143636673
0.952790816,0.08232474,2.06E-06,0.001097195,0.596519864,6.71E-09,6.06E-06,0.034511691,1.62E-06,9.67E-07,1.57462011,5.46E-08,8.37E-16,6.697351729,0.088009353,0.009083901,4.730909032,1.32E-15,1.780600108,2.445541437,0.10961672
0.823887143,0.105573462,0.00364595,0.001175467,0.65094698,1.00E-06,5.80E-09,3.37E-09,0.000152808,0.000224388,0.602735897,1.77E-08,2.27E-10,5.542552945,0.120403034,0.000633715,2.597046829,1.13E-15,2.043182389,3.138771386,0.047604525
1.214207633,0.087956831,1.98E-22,0.003918303,0.599709636,6.17E-09,0.143242193,3.66E-08,0.069438115,0.001145219,0.840873963,5.94E-12,2.57E-24,5.015901734,0.143857603,0.001985659,3.591720427,1.94E-05,1.72326799,2.696860358,0.044019773
1.116323535,0.081346828,3.30E-13,0.004381423,0.550270739,3.28E-12,1.27E-07,4.53E-07,0.034399847,0.006566668,0.823810245,0.012091424,1.61E-14,4.977391454,0.133617122,0.016692989,3.321474558,1.13E-05,1.921269022,2.692697245,0.038678159
1.036448665,0.07733514,2.80E-06,8.01E-05,0.488809264,1.17E-16,7.82E-08,0.016213693,0.104717864,0.000775058,1.047176239,0.000947242,0.019521496,5.948644481,0.108845252,1.70E-07,4.39236875,3.40E-05,1.810025198,2.453296871,0.14815587
0.859144115,0.101592088,7.39E-14,0.001088867,0.633376646,7.93E-19,1.29E-07,4.11E-06,0.024051938,0.019415099,1.098106184,0.024338188,5.93E-11,5.834153002,0.083890917,8.06E-07,2.826990755,0.000166852,1.099193443,3.421368198,0.03435809
1.049059783,0.080779134,2.55E-17,0.000609865,0.574626405,1.19E-14,2.86E-06,0.001235677,0.005225916,7.75E-07,0.939013593,0.018693813,3.28E-13,6.526100851,0.120242438,4.93E-18,4.348498062,5.26E-05,2.967440264,2.140174917,0.067342183
